A81001,75.941
A81002,71.142
A81004,11.639
A81005,31.183
A81006,71.142
A81007,66.571
A81009,56.451
A81011,66.571
A81012,73.511
A81013,16.925
A81014,38.561
A81016,50.844
A81017,60.939
A81018,70.522
A81019,68.402
A81020,53.565
A81021,62.43
A81022,43.374
A81023,48.84
A81025,75.941
A81026,56.451
A81027,5.236
A81029,48.84
A81030,70.851
A81031,66.571
A81032,31.183
A81034,60.939
A81035,70.851
A81036,15.039
A81037,48.84
A81038,73.511
A81039,13.021
A81040,28.613
A81041,43.049
A81042,62.43
A81043,12.615
A81044,48.578
A81045,38.576
A81046,75.941
A81048,22.99
A81049,73.511
A81051,13.027
A81052,70.522
A81053,36.373
A81054,38.576
A81056,33.671
A81057,38.561
A81058,11.077
A81060,66.571
A81063,45.778
A81064,48.84
A81065,62.43
A81066,19.796
A81067,71.142
A81070,72.03
A81602,28.613
A81608,29.606
A81610,28.613
A81611,11.077
A81612,18.508
A81618,18.093
A81621,74.736
A81622,66.571
A81629,71.142
A81630,43.856
A81631,60.109
A81633,70.851
A81634,55.909
A82003,10.42
A82004,19.127
A82005,10.85
A82006,19.216
A82007,64.948
A82008,22.641
A82009,36.138
A82010,75.081
A82012,20.943
A82013,21.556
A82014,17.336
A82015,33.953
A82016,33.953
A82018,33.953
A82019,41.998
A82020,33.606
A82021,7.289
A82022,13.057
A82023,36.102
A82024,8.381
A82025,19.649
A82026,10.617
A82027,11.049
A82028,12.988
A82029,19.725
A82030,10.425
A82031,13.977
A82032,22.403
A82033,35.272
A82034,11.637
A82035,24.942
A82036,24.942
A82037,27.429
A82038,14.829
A82039,18.128
A82041,22.339
A82044,30.341
A82045,24.589
A82046,8.09
A82047,51.733
A82048,33.265
A82049,47.713
A82050,51.733
A82053,8.806
A82055,18.328
A82058,59.64
A82062,75.081
A82064,26.186
A82065,8.806
A82068,10.42
A82070,12.738
A82071,20.618
A82072,75.081
A82075,59.64
A82077,38.878
A82608,14.865
A82613,13.778
A82617,17.478
A82620,18.254
A82621,16.381
A82623,51.733
A82629,60.944
A82631,16.79
A82646,42.673
A82647,7.092
A82650,18.083
A82651,9.703
A82654,33.953
A83001,37.665
A83003,61.39
A83005,15.842
A83006,22.238
A83007,61.925
A83008,39.411
A83009,9.152
A83010,13.052
A83011,8.655
A83012,62.968
A83013,29.372
A83014,3.98
A83015,24.464
A83016,23.957
A83018,20.497
A83020,33.522
A83021,34.642
A83022,16.647
A83023,23.957
A83024,17.858
A83025,33.112
A83026,25.764
A83027,13.645
A83028,9.771
A83029,15.99
A83030,34.314
A83031,6.935
A83032,30.961
A83033,38.896
A83034,29.338
A83035,20.914
A83036,21.957
A83037,27.129
A83038,23.696
A83040,37.366
A83041,31.385
A83043,20.93
A83044,64.313
A83045,28.764
A83046,24.712
A83047,64.591
A83048,4.39
A83049,17.394
A83050,14.137
A83051,42.372
A83052,37.665
A83054,16.278
A83055,3.98
A83057,42.161
A83060,18.514
A83061,11.723
A83066,47.555
A83070,11.987
A83071,36.436
A83072,19.247
A83073,25.806
A83074,36.427
A83075,57.073
A83610,42.161
A83616,55.922
A83617,32.762
A83618,13.85
A83619,29.356
A83622,26.729
A83626,43.089
A83627,34.089
A83630,25.04
A83632,36.799
A83634,38.565
A83635,15.261
A83636,35.219
A83637,34.627
A83641,73.994
A83644,25.806
A84002,18.302
A84003,22.281
A84005,12.422
A84006,15.154
A84007,14.546
A84008,21.969
A84009,62.252
A84011,14.546
A84013,34.301
A84014,62.252
A84015,41.394
A84016,11.865
A84018,6.045
A84020,36.413
A84022,23.721
A84024,4.684
A84025,20.598
A84026,19.56
A84027,15.863
A84028,32.633
A84029,20.8
A84030,20.598
A84031,11.376
A84032,14.019
A84033,4.684
A84034,25.317
A84035,22.84
A84036,19.006
A84037,25.557
A84038,20.598
A84039,11.376
A84040,9.929
A84042,17.072
A84043,11.606
A84044,23.147
A84045,15.669
A84047,9.792
A84604,14.019
A84609,6.853
A84614,22.84
A84619,26.74
A85001,9.899
A85002,50.601
A85003,8.425
A85004,34.269
A85005,30.764
A85006,37.968
A85007,7.586
A85008,25.882
A85009,48.206
A85010,16.964
A85011,48.206
A85012,34.293
A85013,34.293
A85014,9.455
A85016,56.101
A85017,32.819
A85018,42.709
A85019,32.819
A85020,22.807
A85021,50.601
A85023,32.239
A85024,43.006
A85026,26.803
A85611,14.135
A85614,34.293
A85616,42.709
A85617,7.701
A85620,17.011
A86003,15.786
A86004,62.795
A86005,41.947
A86006,3.493
A86007,7.996
A86008,40.465
A86010,12.82
A86011,67.363
A86012,30.515
A86013,49.885
A86016,12.805
A86017,71.679
A86018,4.596
A86020,3.434
A86021,73.512
A86022,9.721
A86023,18.563
A86024,71.356
A86025,25.589
A86026,47.841
A86027,15.786
A86028,5.02
A86029,71.356
A86030,63.175
A86031,44.711
A86033,1.852
A86035,14.537
A86036,5.02
A86037,53.797
A86038,25.153
A86040,79.298
A86041,14.23
A86601,49.012
A87002,12.687
A87003,49.334
A87004,48.543
A87005,20.513
A87006,9.87
A87007,22.648
A87008,9.87
A87009,48.543
A87011,5.529
A87012,17.11
A87013,49.777
A87015,48.543
A87016,15.436
A87017,4.479
A87019,48.543
A87020,8.826
A87022,32.109
A87023,32.109
A87029,15.436
A87030,61.805
A87600,11.756
A87612,4.864
A87615,4.864
A88001,40.062
A88002,47.809
A88003,31.04
A88004,29.084
A88005,29.814
A88006,46.877
A88007,42.311
A88008,69.062
A88009,41.326
A88010,26.901
A88012,45.934
A88013,30.073
A88014,26.14
A88015,69.062
A88016,41.326
A88022,40.062
A88023,17.346
A88025,50.844
A88601,42.311
A88608,9.475
A88613,50.844
A89001,51.152
A89002,43.891
A89004,43.377
A89005,72.638
A89006,31.706
A89007,31.706
A89008,33.999
A89009,30.601
A89010,51.041
A89011,23.515
A89012,16.165
A89013,70.5
A89015,6.679
A89016,38.563
A89017,37.632
A89018,61.279
A89019,61.456
A89020,35.639
A89021,33.227
A89022,51.041
A89023,36.65
A89024,41.531
A89025,16.165
A89026,51.041
A89027,41.531
A89028,18.582
A89030,54.932
A89031,31.706
A89032,23.515
A89034,29.457
A89035,20.229
A89036,34.636
A89040,38.563
A89041,49.063
A89604,61.456
A89614,24.292
A89616,12.08
A89617,8.289
A89623,27.141
B81002,65.025
B81003,37.097
B81004,9.617
B81005,22.078
B81006,75.033
